Id,OverallQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,GarageCars,GarageArea,YrSold
1504,8,975.0,975,1848,2,2.0,592.0,2010
1505,7,1492.0,1492,1492,2,2.0,596.0,2010
1506,6,1829.0,1829,1829,2,2.0,535.0,2010
1507,6,1280.0,1280,2495,2,2.0,660.0,2010
1508,6,1224.0,1287,1891,3,2.0,678.0,2010
1509,6,715.0,930,1645,1,2.0,441.0,2010
1510,5,1232.0,1232,1232,1,2.0,490.0,2010
1511,5,1209.0,1209,1209,1,2.0,504.0,2010
1512,5,1510.0,1510,1510,2,2.0,517.0,2010
1513,6,533.0,1131,1775,2,2.0,480.0,2010
1514,5,1728.0,1728,1728,2,0.0,0.0,2010
1515,5,1140.0,1929,2461,2,2.0,400.0,2010
1516,6,782.0,1019,1556,2,2.0,470.0,2010
1517,6,1080.0,1128,1128,1,1.0,315.0,2010
1518,5,1604.0,1604,1604,2,2.0,576.0,2010
1519,7,1480.0,1480,1480,2,2.0,620.0,2010
1520,5,1143.0,1143,1143,1,1.0,308.0,2010
1521,5,1206.0,1206,1206,1,1.0,312.0,2010
1522,6,1244.0,1580,1580,1,2.0,440.0,2010
1523,4,832.0,832,1337,1,1.0,263.0,2010
1524,5,864.0,1064,1064,1,1.0,318.0,2010
1525,5,972.0,972,972,1,1.0,305.0,2010
1526,5,988.0,988,988,1,1.0,264.0,2010
1527,4,576.0,985,985,1,2.0,676.0,2010
1528,6,816.0,816,1224,1,1.0,280.0,2010
1529,5,1175.0,1175,1175,1,2.0,484.0,2010
1530,6,1395.0,1395,1395,1,2.0,440.0,2010
1531,4,709.0,1157,1844,1,1.0,240.0,2010
1532,5,936.0,936,936,1,0.0,0.0,2010
1533,5,1347.0,1347,1347,1,2.0,551.0,2010
1534,6,827.0,827,1251,1,1.0,240.0,2010
1535,5,1027.0,1027,1633,1,1.0,240.0,2010
1536,5,1008.0,1060,1245,1,1.0,315.0,2010
1537,2,678.0,832,832,1,2.0,780.0,2010
1538,8,930.0,930,1566,2,1.0,288.0,2010
1539,8,346.0,1157,2268,3,2.0,624.0,2010
1540,5,840.0,1128,2256,2,0.0,0.0,2010
1541,6,738.0,868,1470,1,2.0,624.0,2010
1542,5,988.0,1030,1612,1,1.0,363.0,2010
1543,7,1108.0,1160,2068,1,1.0,315.0,2010
1544,4,765.0,765,765,1,1.0,200.0,2010
1545,6,608.0,608,1132,1,1.0,240.0,2010
1546,6,572.0,848,1196,1,2.0,576.0,2010
1547,5,835.0,955,1453,1,1.0,240.0,2010
1548,6,780.0,780,1416,1,1.0,312.0,2010
1549,5,528.0,548,1040,1,2.0,624.0,2010
1550,5,928.0,928,1536,2,2.0,480.0,2010
1551,6,1124.0,1068,1068,1,1.0,288.0,2010
1552,4,888.0,888,1962,1,2.0,572.0,2010
1553,6,780.0,780,1560,1,0.0,0.0,2010
1554,6,662.0,662,1324,1,1.0,180.0,2010
1555,5,1422.0,1675,1675,2,1.0,365.0,2010
1556,5,689.0,725,1224,1,1.0,180.0,2010
1557,5,1212.0,1212,1392,1,0.0,0.0,2010
1558,6,600.0,600,919,1,1.0,231.0,2010
1559,4,707.0,942,1884,1,0.0,0.0,2010
1560,5,856.0,936,1680,2,2.0,450.0,2010
1561,4,1832.0,1832,1832,2,0.0,0.0,2010
1562,5,864.0,892,892,1,1.0,416.0,2010
1563,5,864.0,864,864,1,1.0,280.0,2010
1564,5,1319.0,1373,1373,1,2.0,591.0,2010
1565,5,720.0,720,1440,1,2.0,480.0,2010
1566,7,1420.0,1483,1483,1,2.0,690.0,2010
1567,4,660.0,756,756,1,2.0,440.0,2010
1568,6,1117.0,1117,1981,2,2.0,522.0,2010
1569,3,972.0,1052,1610,2,1.0,480.0,2010
1570,6,663.0,1074,1074,1,1.0,467.0,2010
1571,4,756.0,1169,1531,1,1.0,209.0,2010
1572,5,1172.0,1172,1172,1,1.0,366.0,2010
1573,7,1508.0,1508,1508,1,2.0,572.0,2010
1574,5,1250.0,1298,1298,2,2.0,504.0,2010
1575,7,1433.0,1433,1433,1,2.0,528.0,2010
1576,6,946.0,964,1802,2,4.0,1017.0,2010
1577,7,1222.0,1222,1222,2,2.0,615.0,2010
1578,6,676.0,831,1445,2,2.0,484.0,2010
1579,5,870.0,965,965,1,2.0,580.0,2010
1580,7,878.0,892,1692,2,2.0,513.0,2010
1581,5,1026.0,1026,1026,1,1.0,308.0,2010
1582,5,876.0,876,876,1,2.0,484.0,2010
1583,8,1978.0,1978,1978,2,3.0,850.0,2010
1584,7,1040.0,1044,2098,2,2.0,621.0,2010
1585,6,848.0,848,848,1,2.0,420.0,2010
1586,3,0.0,640,640,1,1.0,240.0,2010
1587,5,381.0,992,992,1,1.0,319.0,2010
1588,5,1196.0,1196,1196,1,1.0,336.0,2010
1589,4,744.0,792,1120,1,2.0,480.0,2010
1590,6,1008.0,1096,1096,1,1.0,352.0,2010
1591,4,960.0,960,960,1,0.0,0.0,2010
1592,5,1107.0,1296,1296,2,1.0,260.0,2010
1593,6,856.0,856,856,1,2.0,399.0,2010
1594,4,0.0,862,2650,3,0.0,0.0,2010
1595,5,894.0,894,1666,1,0.0,0.0,2010
1596,7,1528.0,1225,2133,1,1.0,312.0,2010
1597,5,1032.0,1102,2177,2,2.0,484.0,2010
1598,7,423.0,896,1652,2,2.0,473.0,2010
1599,8,982.0,1034,1034,1,2.0,598.0,2010
1600,8,1191.0,1191,1191,2,2.0,531.0,2010
1601,2,480.0,540,540,1,1.0,200.0,2010
1602,6,629.0,727,1107,1,1.0,625.0,2010
1603,4,756.0,952,952,1,1.0,330.0,2010
1604,8,1594.0,1646,1646,2,2.0,525.0,2010
1605,8,1049.0,1036,1916,2,3.0,741.0,2010
1606,6,1243.0,1285,1285,2,2.0,473.0,2010
1607,6,1958.0,2048,2048,3,2.0,776.0,2010
1608,7,1336.0,1346,1346,2,3.0,660.0,2010
1609,7,1214.0,1214,1214,2,2.0,520.0,2010
1610,5,384.0,744,1444,2,2.0,400.0,2010
1611,5,1068.0,1264,1264,1,2.0,528.0,2010
1612,5,1430.0,1430,1430,2,2.0,624.0,2010
1613,5,1344.0,1344,1344,2,2.0,686.0,2010
1614,5,945.0,945,945,1,1.0,253.0,2010
1615,4,546.0,546,1092,1,0.0,0.0,2010
1616,4,546.0,546,1092,1,0.0,0.0,2010
1617,4,546.0,546,1092,1,1.0,286.0,2010
1618,5,864.0,874,874,1,1.0,352.0,2010
1619,5,833.0,833,833,1,2.0,495.0,2010
1620,5,1216.0,1216,2432,4,2.0,616.0,2010
1621,5,624.0,624,1274,1,2.0,576.0,2010
1622,5,864.0,864,1479,2,1.0,275.0,2010
1623,8,1679.0,1803,1803,2,2.0,482.0,2010
1624,6,1152.0,1152,1797,2,2.0,616.0,2010
1625,6,882.0,882,882,1,1.0,502.0,2009
1626,6,1434.0,1434,1434,2,2.0,528.0,2009
1627,6,945.0,945,1608,2,2.0,470.0,2009
1628,8,1008.0,1008,2283,2,3.0,632.0,2009
1629,7,384.0,958,1628,2,2.0,390.0,2009
1630,8,2208.0,2522,2522,2,2.0,564.0,2009
1631,8,1418.0,1478,1478,2,2.0,495.0,2009
1632,8,1587.0,1734,1734,2,2.0,528.0,2009
1633,7,384.0,751,1382,2,2.0,396.0,2009
1634,6,952.0,952,1636,2,2.0,440.0,2009
1635,6,707.0,707,1516,2,2.0,409.0,2009
1636,6,1181.0,1190,1190,2,2.0,430.0,2009
1637,5,1122.0,946,1934,2,2.0,567.0,2009
1638,7,832.0,1154,2050,2,2.0,529.0,2009
1639,6,1427.0,1671,1671,2,2.0,484.0,2009
1640,7,1043.0,1539,2673,2,2.0,441.0,2009
1641,6,1140.0,1707,1707,2,2.0,479.0,2009
1642,7,926.0,1016,1884,2,2.0,581.0,2009
1643,8,1058.0,1058,1874,2,2.0,588.0,2009
1644,8,972.0,972,1811,2,2.0,565.0,2009
1645,5,1621.0,1621,1621,2,2.0,478.0,2009
1646,6,1116.0,1116,1116,2,2.0,528.0,2009
1647,7,1176.0,1193,1193,2,2.0,506.0,2009
1648,5,1180.0,1180,1180,1,2.0,477.0,2009
1649,5,1043.0,1050,1050,1,1.0,336.0,2009
1650,4,864.0,864,864,1,2.0,576.0,2009
1651,4,864.0,864,864,1,2.0,576.0,2009
1652,6,483.0,483,987,1,1.0,264.0,2009
1653,6,483.0,483,987,1,1.0,288.0,2009
1654,6,804.0,804,1548,2,2.0,440.0,2009
1655,7,1057.0,1055,1055,2,2.0,440.0,2009
1656,6,855.0,855,1456,2,2.0,440.0,2009
1657,6,804.0,804,1548,2,2.0,440.0,2009
1658,6,855.0,855,1456,2,2.0,440.0,2009
1659,7,836.0,836,836,1,1.0,345.0,2009
1660,5,864.0,1120,1120,1,2.0,656.0,2009
1661,9,1776.0,1794,2772,3,3.0,754.0,2009
1662,9,1365.0,1365,2690,2,3.0,864.0,2009
1663,9,2020.0,2020,2020,2,3.0,896.0,2009
1664,10,2630.0,2674,2674,2,3.0,762.0,2009
1665,9,1736.0,1736,1736,2,3.0,834.0,2009
1666,8,1782.0,1782,1782,2,3.0,932.0,2009
1667,8,1508.0,1508,2520,2,3.0,640.0,2009
1668,9,1739.0,1743,1743,2,3.0,927.0,2009
1669,9,1504.0,1531,1531,2,3.0,700.0,2009
1670,9,1774.0,1808,1808,2,3.0,850.0,2009
1671,7,1760.0,1760,1760,2,2.0,583.0,2009
1672,9,2452.0,2452,2452,2,3.0,886.0,2009
1673,8,1082.0,1105,2400,3,3.0,730.0,2009
1674,8,1598.0,1606,1606,2,3.0,871.0,2009
1675,6,1358.0,1358,1358,2,2.0,484.0,2009
1676,6,1306.0,1306,1306,2,2.0,624.0,2009
1677,7,1350.0,1358,1358,2,2.0,484.0,2009
1678,10,2492.0,2492,2492,2,3.0,949.0,2009
1679,8,2200.0,2200,2200,2,3.0,685.0,2009
1680,9,1884.0,1884,1884,2,2.0,649.0,2009
1681,9,1451.0,1456,1456,2,2.0,539.0,2009
1682,8,1712.0,1712,1712,2,3.0,701.0,2009
1683,7,1405.0,1405,1405,2,2.0,478.0,2009
1684,7,728.0,728,1456,2,2.0,390.0,2009
1685,6,745.0,745,1490,2,2.0,392.0,2009
1686,7,1220.0,1220,1220,2,2.0,397.0,2009
1687,7,384.0,744,1374,2,2.0,400.0,2009
1688,7,868.0,868,1630,2,2.0,436.0,2009
1689,7,846.0,846,1594,2,2.0,434.0,2009
1690,7,782.0,806,1489,2,2.0,400.0,2009
1691,7,698.0,698,1342,2,2.0,393.0,2009
1692,8,870.0,878,2004,2,3.0,644.0,2009
1693,7,384.0,744,1374,2,2.0,400.0,2009
1694,6,794.0,819,1514,2,2.0,394.0,2009
1695,7,384.0,774,1430,2,2.0,400.0,2009
1696,7,1177.0,1223,2312,2,3.0,658.0,2009
1697,7,384.0,774,1430,2,2.0,410.0,2009
1698,8,1455.0,1466,2687,2,3.0,810.0,2009
1699,8,2024.0,2063,2063,2,3.0,815.0,2009
1700,7,1070.0,1094,2061,2,2.0,647.0,2009
1701,8,1173.0,1215,2232,2,2.0,623.0,2009
1702,8,1696.0,1696,1696,2,3.0,972.0,2009
1703,8,1614.0,1658,1658,2,3.0,726.0,2009
1704,8,1702.0,1702,1702,2,3.0,844.0,2009
1705,8,1422.0,1432,1432,2,2.0,492.0,2009
1706,9,2458.0,2490,2490,2,3.0,795.0,2009
1707,7,1436.0,1436,1436,2,2.0,529.0,2009
1708,7,1402.0,1402,1402,2,2.0,625.0,2009
1709,9,1530.0,1530,1530,2,3.0,984.0,2009
1710,8,1372.0,1448,1448,2,2.0,692.0,2009
1711,8,900.0,909,1795,2,3.0,782.0,2009
1712,8,1836.0,1836,1836,2,2.0,517.0,2009
1713,7,1652.0,1662,1662,2,3.0,711.0,2009
1714,7,1553.0,1553,1553,2,2.0,588.0,2009
1715,7,812.0,812,1653,2,2.0,628.0,2009
1716,7,1218.0,1218,1218,1,2.0,576.0,2009
1717,7,1141.0,1141,1141,1,2.0,484.0,2009
1718,6,1158.0,1158,1158,1,0.0,0.0,2009
1719,7,835.0,871,1812,2,2.0,478.0,2009
1720,8,1512.0,1512,1512,2,3.0,845.0,2009
1721,7,1114.0,1114,1114,1,2.0,576.0,2009
1722,5,1114.0,1114,1114,1,0.0,0.0,2009
1723,5,1114.0,1114,1114,2,2.0,576.0,2009
1724,7,1450.0,1450,1450,2,3.0,788.0,2009
1725,7,913.0,913,2122,2,2.0,559.0,2009
1726,6,816.0,833,1730,2,2.0,528.0,2009
1727,6,1332.0,1332,1332,2,2.0,542.0,2009
1728,7,754.0,754,1540,2,2.0,495.0,2009
1729,6,676.0,698,1400,2,2.0,465.0,2009
1730,6,0.0,964,1882,2,2.0,612.0,2009
1731,5,980.0,980,980,1,2.0,400.0,2009
1732,5,864.0,864,864,1,2.0,732.0,2009
1733,5,864.0,864,864,1,1.0,440.0,2009
1734,5,1024.0,1020,1020,2,1.0,288.0,2009
1735,5,912.0,912,912,1,1.0,300.0,2009
1736,5,912.0,912,912,1,1.0,252.0,2009
1737,8,2014.0,2014,2014,2,3.0,864.0,2009
1738,7,975.0,975,1755,2,2.0,524.0,2009
1739,7,1376.0,1376,3005,2,3.0,704.0,2009
1740,6,1726.0,1726,1726,2,2.0,561.0,2009
1741,6,1145.0,1256,1256,1,2.0,641.0,2009
1742,6,756.0,756,1512,2,2.0,440.0,2009
1743,7,691.0,713,1452,2,2.0,506.0,2009
1744,8,1694.0,1694,1694,2,2.0,642.0,2009
1745,7,1740.0,1740,1740,1,2.0,540.0,2009
1746,8,392.0,1487,2499,2,2.0,527.0,2009
1747,7,752.0,1285,2067,2,2.0,784.0,2009
1748,6,932.0,1271,2640,2,2.0,515.0,2009
1749,5,1288.0,1336,1336,2,2.0,502.0,2009
1750,6,1216.0,1216,1216,1,1.0,336.0,2009
1751,7,908.0,1316,2288,1,2.0,520.0,2009
1752,5,864.0,864,864,1,1.0,312.0,2009
1753,5,1568.0,1568,1568,1,2.0,440.0,2009
1754,7,1165.0,1165,2061,2,2.0,498.0,2009
1755,6,1232.0,1320,1320,2,2.0,495.0,2009
1756,4,894.0,894,894,1,2.0,396.0,2009
1757,5,864.0,864,864,1,1.0,308.0,2009
1758,4,1040.0,1362,1362,1,3.0,768.0,2009
1759,5,1048.0,1728,1728,2,2.0,576.0,2009
1760,5,1313.0,1313,1313,1,2.0,610.0,2009
1761,5,1292.0,1292,1292,1,2.0,520.0,2009
1762,5,744.0,825,2140,2,2.0,549.0,2009
1763,6,1208.0,1576,1576,1,2.0,368.0,2009
1764,5,960.0,960,960,1,1.0,330.0,2009
1765,6,1680.0,1691,1691,1,2.0,550.0,2009
1766,6,1453.0,1453,1453,2,2.0,530.0,2009
1767,6,1562.0,1567,1567,2,2.0,542.0,2009
1768,5,1169.0,1144,1144,1,1.0,286.0,2009
1769,7,1329.0,1329,1329,1,2.0,441.0,2009
1770,6,988.0,988,988,2,1.0,297.0,2009
1771,5,1202.0,1202,1202,1,1.0,304.0,2009
1772,5,1382.0,1382,1382,1,1.0,350.0,2009
1773,4,1200.0,1200,1200,1,1.0,294.0,2009
1774,5,1866.0,1866,1866,2,2.0,495.0,2009
1775,6,1062.0,1062,1062,1,1.0,297.0,2009
1776,5,631.0,1112,1112,1,2.0,480.0,2009
1777,5,793.0,793,793,1,1.0,240.0,2009
1778,5,1031.0,1031,1031,1,1.0,230.0,2009
1779,5,0.0,1210,1210,1,1.0,616.0,2009
1780,7,699.0,801,1527,1,2.0,410.0,2009
1781,5,1200.0,1200,1200,1,1.0,246.0,2009
1782,3,792.0,792,792,1,1.0,366.0,2009
1783,5,676.0,676,1352,2,2.0,720.0,2009
1784,4,405.0,717,1039,1,1.0,281.0,2009
1785,5,1054.0,1078,1078,1,1.0,264.0,2009
1786,4,1313.0,1313,2377,2,2.0,528.0,2009
1787,7,560.0,930,1690,2,2.0,624.0,2009
1788,2,416.0,599,599,1,0.0,0.0,2009
1789,5,720.0,846,846,1,2.0,576.0,2009
1790,3,630.0,725,725,1,1.0,320.0,2009
1791,6,1248.0,1248,2544,2,3.0,907.0,2009
1792,6,1380.0,1380,1380,1,1.0,364.0,2009
1793,6,1040.0,1040,1040,1,2.0,480.0,2009
1794,6,951.0,951,951,1,2.0,480.0,2009
1795,6,1105.0,1105,1105,1,1.0,308.0,2009
1796,6,160.0,1142,1142,1,1.0,384.0,2009
1797,6,795.0,765,1133,1,2.0,900.0,2009
1798,5,1041.0,1041,1041,1,1.0,294.0,2009
1799,5,732.0,732,732,1,1.0,240.0,2009
1800,5,528.0,1183,1183,1,1.0,288.0,2009
1801,4,832.0,832,1461,2,1.0,384.0,2009
1802,6,864.0,1064,1495,1,2.0,576.0,2009
1803,6,780.0,993,1806,1,2.0,483.0,2009
1804,5,941.0,941,941,1,2.0,564.0,2009
1805,6,1045.0,1045,1045,1,1.0,264.0,2009
1806,6,901.0,861,1378,1,1.0,162.0,2009
1807,6,972.0,972,1944,2,2.0,324.0,2009
1808,5,240.0,810,1306,1,2.0,472.0,2009
1809,5,504.0,764,1464,2,0.0,0.0,2009
1810,5,690.0,868,1558,1,2.0,400.0,2009
1811,4,600.0,1101,1701,2,0.0,0.0,2009
1812,5,801.0,801,1447,1,0.0,0.0,2009
1813,5,768.0,768,1328,1,1.0,308.0,2009
1814,4,861.0,861,861,1,2.0,288.0,2009
1815,2,0.0,612,612,1,1.0,308.0,2009
1816,5,624.0,792,792,1,1.0,287.0,2009
1817,4,677.0,833,1510,2,2.0,720.0,2009
1818,6,917.0,1090,2007,2,1.0,357.0,2009
1819,6,624.0,664,1288,1,1.0,280.0,2009
1820,4,624.0,816,816,1,0.0,0.0,2009
1821,6,972.0,1044,1480,1,1.0,207.0,2009
1822,6,741.0,780,1521,1,3.0,640.0,2009
1823,3,245.0,797,797,1,0.0,0.0,2009
1824,6,1022.0,1432,1432,1,1.0,216.0,2009
1825,5,297.0,1001,1654,2,1.0,336.0,2009
1826,5,468.0,822,1142,1,1.0,320.0,2009
1827,5,960.0,995,995,1,1.0,264.0,2009
1828,5,952.0,994,1582,2,1.0,250.0,2009
1829,5,1072.0,1072,1072,1,5.0,1184.0,2009
1830,6,1048.0,1048,1768,2,2.0,576.0,2009
1831,7,672.0,1272,1944,2,1.0,216.0,2009
1832,5,1040.0,1088,2128,2,0.0,0.0,2009
1833,6,720.0,1146,1930,2,1.0,316.0,2009
1834,6,483.0,741,1427,1,1.0,379.0,2009
1835,7,1020.0,978,1864,2,0.0,0.0,2009
1836,6,1204.0,1204,1666,1,1.0,384.0,2009
1837,4,858.0,892,892,1,0.0,0.0,2009
1838,6,698.0,754,1403,1,1.0,308.0,2009
1839,4,560.0,704,704,1,1.0,220.0,2009
1840,5,1200.0,1200,1200,3,0.0,0.0,2009
1841,5,1152.0,1152,1152,2,1.0,252.0,2009
1842,5,585.0,687,1112,2,1.0,226.0,2009
1843,5,1052.0,1052,1052,1,1.0,668.0,2009
1844,6,456.0,1034,1034,1,2.0,504.0,2009
1845,5,552.0,904,1774,2,1.0,384.0,2009
1846,6,1138.0,1138,1138,1,2.0,480.0,2009
1847,5,825.0,2071,2071,1,1.0,336.0,2009
1848,2,0.0,660,660,1,0.0,0.0,2009
1849,4,0.0,1383,1383,1,2.0,498.0,2009
1850,5,1073.0,1073,1073,1,1.0,340.0,2009
1851,6,747.0,892,1639,1,1.0,240.0,2009
1852,5,1089.0,1089,1089,1,1.0,252.0,2009
1853,5,1049.0,1049,1049,2,1.0,266.0,2009
1854,7,1054.0,1061,1061,1,2.0,462.0,2009
1855,6,520.0,1338,1338,1,2.0,576.0,2009
1856,7,1079.0,1079,1879,2,2.0,473.0,2009
1857,5,0.0,1288,2016,1,2.0,576.0,2009
1858,5,0.0,1114,2228,2,2.0,720.0,2009
1859,5,0.0,1535,1535,2,2.0,400.0,2009
1860,5,1094.0,1229,1229,0,2.0,672.0,2009
1861,5,0.0,1513,1513,2,2.0,400.0,2009
1862,7,1168.0,1168,2787,4,4.0,820.0,2009
1863,7,1168.0,1168,2787,4,4.0,820.0,2009
1864,7,1168.0,1168,2787,4,4.0,820.0,2009
1865,9,1555.0,1680,1680,1,3.0,1138.0,2009
1866,9,1720.0,1720,1720,2,3.0,846.0,2009
1867,8,1468.0,1468,1468,2,3.0,904.0,2009
1868,8,1838.0,1838,1838,2,2.0,524.0,2009
1869,7,1282.0,1290,1290,2,2.0,662.0,2009
1870,8,1254.0,1254,1254,2,3.0,810.0,2009
1871,8,1498.0,1498,1498,2,3.0,844.0,2009
1872,6,704.0,704,1422,2,2.0,440.0,2009
1873,7,1449.0,944,1759,2,2.0,525.0,2009
1874,5,990.0,990,990,1,1.0,440.0,2009
1875,7,1463.0,1463,1463,2,2.0,539.0,2009
1876,6,928.0,928,1772,2,2.0,492.0,2009
1877,7,1431.0,1444,1444,2,2.0,577.0,2009
1878,7,1492.0,1492,1492,2,2.0,608.0,2009
1879,5,907.0,907,907,1,1.0,343.0,2009
1880,5,914.0,914,914,1,2.0,444.0,2009
1881,7,1569.0,1611,1611,2,3.0,1231.0,2009
1882,8,1068.0,1068,2184,2,2.0,570.0,2009
1883,7,840.0,840,1725,2,2.0,550.0,2009
1884,7,944.0,944,1870,2,2.0,608.0,2009
1885,8,1462.0,1513,1513,2,2.0,521.0,2009
1886,8,1822.0,1828,1828,2,2.0,523.0,2009
1887,7,1417.0,1417,1417,2,2.0,511.0,2009
1888,8,1578.0,1602,1602,2,3.0,810.0,2009
1889,6,608.0,608,1396,2,2.0,440.0,2009
1890,4,1014.0,1149,1149,1,1.0,544.0,2009
1891,6,547.0,1072,1072,1,2.0,525.0,2009
1892,4,876.0,876,876,1,1.0,320.0,2009
1893,5,1078.0,1368,1368,1,1.0,195.0,2009
1894,5,1678.0,1678,1678,2,0.0,0.0,2009
1895,5,1150.0,1560,1560,1,1.0,313.0,2009
1896,5,720.0,854,1298,1,1.0,256.0,2009
1897,5,832.0,832,1268,1,1.0,250.0,2009
1898,6,583.0,647,1242,1,1.0,180.0,2009
1899,6,816.0,1232,1232,1,2.0,440.0,2009
1900,7,600.0,628,1228,1,1.0,215.0,2009
1901,5,840.0,840,1567,1,2.0,440.0,2009
1902,5,1273.0,1273,1273,1,1.0,307.0,2009
1903,7,920.0,1240,2480,2,2.0,400.0,2009
1904,5,1112.0,1112,1112,1,1.0,390.0,2009
1905,6,1561.0,1561,1561,2,2.0,463.0,2009
1906,5,1067.0,986,1523,2,1.0,295.0,2009
1907,6,1310.0,1906,1906,1,2.0,576.0,2009
1908,6,516.0,516,1032,1,2.0,452.0,2009
1909,6,561.0,561,1229,1,2.0,462.0,2009
1910,6,561.0,561,1229,1,2.0,462.0,2009
1911,6,572.0,1182,1982,2,2.0,501.0,2009
1912,7,1803.0,2365,2365,2,2.0,551.0,2009
1913,5,760.0,928,2168,2,2.0,576.0,2009
1914,4,572.0,572,572,1,1.0,200.0,2009
1915,8,1596.0,1648,1648,2,2.0,482.0,2009
1916,2,0.0,810,810,1,1.0,280.0,2009
1917,8,1107.0,1040,2052,2,3.0,642.0,2009
1918,6,902.0,926,926,1,1.0,351.0,2009
1919,6,957.0,1287,1287,1,2.0,541.0,2009
1920,5,1582.0,1595,1595,2,2.0,672.0,2009
1921,9,2190.0,2036,2036,2,3.0,780.0,2009
1922,9,1641.0,1641,1641,2,3.0,885.0,2009
1923,6,712.0,1375,2237,2,2.0,440.0,2009
1924,7,1645.0,1479,1479,2,2.0,578.0,2009
1925,7,912.0,1072,2014,2,2.0,486.0,2009
1926,9,1978.0,1978,1978,2,3.0,920.0,2009
1927,5,1008.0,1008,1008,1,1.0,384.0,2009
1928,5,1188.0,1404,1404,2,2.0,504.0,2009
1929,5,796.0,796,796,1,1.0,336.0,2009
1930,6,384.0,1091,1091,1,1.0,429.0,2009
1931,5,828.0,883,883,1,2.0,698.0,2009
1932,5,624.0,624,1287,1,2.0,440.0,2009
1933,5,784.0,784,1632,1,2.0,898.0,2009
1934,6,926.0,926,1604,2,2.0,470.0,2008
1935,6,680.0,680,1470,2,2.0,420.0,2008
1936,6,926.0,926,1604,2,2.0,472.0,2008
1937,6,916.0,916,1636,2,2.0,386.0,2008
1938,5,1348.0,1384,1384,2,2.0,404.0,2008
1939,8,1664.0,1682,1682,1,2.0,528.0,2008
1940,8,1280.0,1280,1280,2,2.0,506.0,2008
1941,6,932.0,932,1633,2,2.0,460.0,2008
1942,6,836.0,851,1709,2,2.0,416.0,2008
1943,8,1337.0,1337,1337,2,2.0,462.0,2008
1944,8,1168.0,1168,2500,3,3.0,683.0,2008
1945,9,1884.0,1884,1884,2,3.0,670.0,2008
1946,6,1632.0,1474,1474,1,2.0,495.0,2008
1947,9,1710.0,1710,1710,2,2.0,557.0,2008
1948,6,1488.0,1488,1488,2,2.0,738.0,2008
1949,7,1675.0,1688,1688,2,2.0,528.0,2008
1950,7,1260.0,1260,1260,2,2.0,598.0,2008
1951,7,2048.0,2064,2064,2,2.0,550.0,2008
1952,7,1782.0,1782,1782,2,2.0,551.0,2008
1953,6,1211.0,1211,1211,2,2.0,461.0,2008
1954,7,738.0,1277,2044,2,2.0,489.0,2008
1955,5,720.0,720,1308,1,2.0,484.0,2008
1956,7,1420.0,1420,2840,2,4.0,1314.0,2008
